ID,Incident Date,Incident Date Text,State,City Or County,Address,,Killed,,,Injured,,longitude,latitude,victim,radius,popup
236,5/6/2016,6-May,Maryland,Bethesda,7101 Democracy Blvd,Number killed:,3,Number killed: 3,Number injured:,3,Number injured: 3,-77.14881,39.022453,6,6.911635164,"05-06, 7101 Democracy Blvd, Bethesda, Maryland, Number killed: 3, Number injured: 3"
256,4/22/2016,22-Apr,Georgia,Appling,3162 Johnson Drive,Number killed:,6,Number killed: 6,Number injured:,0,Number injured: 0,-82.22435,33.59883,6,6.911635164,"04-22, 3162 Johnson Drive, Appling, Georgia, Number killed: 6, Number injured: 0"
266,4/16/2016,16-Apr,Florida,Orlando,1100 block of Conley Street,Number killed:,2,Number killed: 2,Number injured:,4,Number injured: 4,-81.39342,28.532934,6,6.911635164,"04-16, 1100 block of Conley Street, Orlando, Florida, Number killed: 2, Number injured: 4"
315,2/7/2016,7-Feb,Mississippi,Pass Christian,Davis Avenue,Number killed:,2,Number killed: 2,Number injured:,4,Number injured: 4,-89.244684,30.322741,6,6.911635164,"02-07, Davis Avenue, Pass Christian, Mississippi, Number killed: 2, Number injured: 4"
325,1/27/2016,27-Jan,Virginia,Chesapeake,1401 N. George Washington Hwy,Number killed:,6,Number killed: 6,Number injured:,0,Number injured: 0,-76.33051,36.790573,6,6.911635164,"01-27, 1401 N. George Washington Hwy, Chesapeake, Virginia, Number killed: 6, Number injured: 0"
3,11/9/2016,9-Nov,Washington,Seattle,1524 3rd Ave,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-122.338036,47.610016,5,6.309430814,"11-09, 1524 3rd Ave, Seattle, Washington, Number killed: 0, Number injured: 5"
5,11/5/2016,5-Nov,South Carolina,Myrtle Beach,803 Main Street,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-78.67922,33.827637,5,6.309430814,"11-05, 803 Main Street, Myrtle Beach, South Carolina, Number killed: 0, Number injured: 5"
7,11/5/2016,5-Nov,Illinois,Chicago,4800 block of North Winthrop,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-87.657403,41.969391,5,6.309430814,"11-05, 4800 block of North Winthrop, Chicago, Illinois, Number killed: 0, Number injured: 5"
11,11/2/2016,2-Nov,Arkansas,Little Rock,2100 block of Bragg Street,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-92.266235,34.728424,5,6.309430814,"11-02, 2100 block of Bragg Street, Little Rock, Arkansas, Number killed: 0, Number injured: 5"
17,10/30/2016,30-Oct,Texas,San Antonio,2900 block of Aspen Meadow,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-98.607087,29.464858,5,6.309430814,"10-30, 2900 block of Aspen Meadow, San Antonio, Texas, Number killed: 0, Number injured: 5"
20,10/29/2016,29-Oct,California,Los Angeles,1600 block of Century Boulevard,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-118.30487,33.94549,5,6.309430814,"10-29, 1600 block of Century Boulevard, Los Angeles, California, Number killed: 0, Number injured: 5"
25,10/25/2016,25-Oct,Virginia,Roanoke,830 Campbell Avenue Southeast,Number killed:,2,Number killed: 2,Number injured:,3,Number injured: 3,-79.9305,37.273117,5,6.309430814,"10-25, 830 Campbell Avenue Southeast, Roanoke, Virginia, Number killed: 2, Number injured: 3"
30,10/17/2016,17-Oct,Illinois,Chicago (Englewood),6700 block of South Winchester,Number killed:,1,Number killed: 1,Number injured:,4,Number injured: 4,-87.672486,41.772268,5,6.309430814,"10-17, 6700 block of South Winchester, Chicago (Englewood), Illinois, Number killed: 1, Number injured: 4"
31,10/15/2016,15-Oct,Alabama,Mobile,1800 block of St Stephens Road,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-88.07886,30.702906,5,6.309430814,"10-15, 1800 block of St Stephens Road, Mobile, Alabama, Number killed: 0, Number injured: 5"
39,10/4/2016,4-Oct,Louisiana,New Orleans,3727 Ulloa Street,Number killed:,3,Number killed: 3,Number injured:,2,Number injured: 2,-90.10163,29.966972,5,6.309430814,"10-04, 3727 Ulloa Street, New Orleans, Louisiana, Number killed: 3, Number injured: 2"
41,10/2/2016,2-Oct,Texas,San Antonio,2600 South Flores Street,Number killed:,1,Number killed: 1,Number injured:,4,Number injured: 4,-98.50458,29.398752,5,6.309430814,"10-02, 2600 South Flores Street, San Antonio, Texas, Number killed: 1, Number injured: 4"
50,9/23/2016,23-Sep,Washington,Burlington,201 Cascade Mall Dr,Number killed:,5,Number killed: 5,Number injured:,0,Number injured: 0,-122.33827,48.46459,5,6.309430814,"09-23, 201 Cascade Mall Dr, Burlington, Washington, Number killed: 5, Number injured: 0"
61,9/13/2016,13-Sep,Indiana,Fort Wayne,1723 E Wayne St,Number killed:,3,Number killed: 3,Number injured:,2,Number injured: 2,-85.11556,41.080196,5,6.309430814,"09-13, 1723 E Wayne St, Fort Wayne, Indiana, Number killed: 3, Number injured: 2"
65,9/11/2016,11-Sep,Michigan,Saginaw,2207 Pierce Road,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-83.95887,43.50863,5,6.309430814,"09-11, 2207 Pierce Road, Saginaw, Michigan, Number killed: 0, Number injured: 5"
66,9/11/2016,11-Sep,North Carolina,New Bern,1100 Highway 70,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-77.030025,35.080179,5,6.309430814,"09-11, 1100 Highway 70, New Bern, North Carolina, Number killed: 0, Number injured: 5"
70,9/8/2016,8-Sep,Arkansas,Hot Springs National Park (Hot Springs),300 Lacey Street,Number killed:,1,Number killed: 1,Number injured:,4,Number injured: 4,-93.075615,34.498417,5,6.309430814,"09-08, 300 Lacey Street, Hot Springs National Park (Hot Springs), Arkansas, Number killed: 1, Number injured: 4"
72,9/5/2016,5-Sep,Illinois,Chicago,2700 block of West Lexington Avenue,Number killed:,2,Number killed: 2,Number injured:,3,Number injured: 3,-87.693698,41.87245,5,6.309430814,"09-05, 2700 block of West Lexington Avenue, Chicago, Illinois, Number killed: 2, Number injured: 3"
79,8/29/2016,29-Aug,California,Temecula,41450 Cruz Way,Number killed:,5,Number killed: 5,Number injured:,0,Number injured: 0,-117.032776,33.520283,5,6.309430814,"08-29, 41450 Cruz Way, Temecula, California, Number killed: 5, Number injured: 0"
83,8/28/2016,28-Aug,Alabama,Dadeville,512 E Columbus St,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-85.761188,32.830995,5,6.309430814,"08-28, 512 E Columbus St, Dadeville, Alabama, Number killed: 0, Number injured: 5"
86,8/25/2016,25-Aug,New Jersey,Bridgeton,Marion Street,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-75.228932,39.432023,5,6.309430814,"08-25, Marion Street, Bridgeton, New Jersey, Number killed: 0, Number injured: 5"
89,8/20/2016,20-Aug,Washington,Tacoma,900 block of Pacific Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-122.43909,47.255352,5,6.309430814,"08-20, 900 block of Pacific Avenue, Tacoma, Washington, Number killed: 0, Number injured: 5"
91,8/20/2016,20-Aug,Alabama,Citronelle,Jim Platt Road,Number killed:,5,Number killed: 5,Number injured:,0,Number injured: 0,-88.308829,31.050189,5,6.309430814,"08-20, Jim Platt Road, Citronelle, Alabama, Number killed: 5, Number injured: 0"
94,8/14/2016,14-Aug,Minnesota,Minneapolis,1717 Plymouth Avenue North,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-93.30221,44.991493,5,6.309430814,"08-14, 1717 Plymouth Avenue North, Minneapolis, Minnesota, Number killed: 0, Number injured: 5"
111,8/6/2016,6-Aug,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,Number killed:,5,Number killed: 5,Number injured:,0,Number injured: 0,-76.02426,40.3301,5,6.309430814,"08-06, 51 Winding Brook Drive, Reading (Sinking Spring), Pennsylvania, Number killed: 5, Number injured: 0"
119,7/31/2016,31-Jul,Texas,Austin,208 East Sixth Street,Number killed:,1,Number killed: 1,Number injured:,4,Number injured: 4,-97.741295,30.267647,5,6.309430814,"07-31, 208 East Sixth Street, Austin, Texas, Number killed: 1, Number injured: 4"
120,7/30/2016,30-Jul,Missouri,Saint Louis,5000 block of Kensington Avenue,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-90.2634,38.653893,5,6.309430814,"07-30, 5000 block of Kensington Avenue, Saint Louis, Missouri, Number killed: 0, Number injured: 5"
121,7/30/2016,30-Jul,Georgia,Townsend (Eulonia),14699 Highway 17,Number killed:,0,Number killed: 0,Number injured:,5,Number injured: 5,-81.430816,31.525599,5,6.309430814,"07-30, 14699 Highway 17, Townsend (Eulonia), Georgia, Number killed: 0, Number injured: 5"
